STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
143,ꪮ꪿ꪱꪀ ꪊꪱꪙ,1,,,t.,1,gian ác,,ꪮ꪿ꪱꪙ ꪶꪕ꫁ꪥ ꪵꪠꪙ ꪮ꪿ꪱꪀ ꪊꪱꪙ: kể tội bọn gian ác,
144,ꪮ꪿ꪱꪀ ꪻꪊ,1,,,t.,1,ác tâm,,ꪋꪰꪉ ꪘ꫁ꪱ ꪠꪴ꫁ ꪮ꪿ꪱꪀ ꪻꪊ: ghét mặt kẻ ác tâm,
145,ꪮ꪿ꪱꪀ ꪋ꪿ꪺ,1,,,t.,1,khốc hại,,ꪹꪎꪷ꪿ꪀ ꪹꪥꪸꪒ ꪮ꪿ꪱꪀ ꪋ꪿ꪺ ꪻꪬ꫁ ꪹꪤꪸꪙ: giặc làm khốc hại cho dân,
146,ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ,1,,,t.,1,tàn ác,,ꪹꪎꪷ꪿ꪀ ꪮ꪿ꪱꪀ ꪭ꫁ꪱꪥ: giặc tàn ác,
147,ꪵꪮ꪿ꪀ ꫟,1,,,đg.,1,eng éc,,ꪢꪴ ꪭ꫁ꪮꪉ ꪵꪮ꪿ꪀ ꫟: lợn kêu eng éc,
149,ꪵꪯ꫁ꪀ ꫟,1,,,t.,1,lặc lè,,ꪬꪱꪚ ꪘꪰꪀ ꪼꪜ ꪵꪯ꫁ꪀ ꫟: gánh nặng đi lặc lè,
150,ꪮꪱꪥ,1,,,d.,1,mùi,,ꪮꪱꪥ ꪙꪾ꫁ ꪚꪮꪀ: mùi nước hoa,
151,ꪮꪱꪥ,1,,,d.,2,hôi,,ꪮꪱꪥ ꪘꪴ ꪋꪴ: hôi chuột chù,
152,ꪮꪱꪥ,1,,,d.,3,hơi,,ꪮꪱꪥ ꪙꪾ꫁ ꪜꪴ꪿ꪀ ꪄꪳ꫁ꪙ: hơi nước bốc lên,
153,ꪮꪱꪥ,1,,,d.,4,khí,,ꪮꪱꪥ ꪡ꫁ꪱ: khí trời,
154,ꪮꪱꪥ,2,,,d.,1,"thấm, ăn thua",lóng,ꪹꪚ꪿ꪱ ꪮꪱꪥ ꪎꪰꪉ: không thấm vào đâu (không ăn thua gì),
155,ꪮꪱꪥ ꪭ꫁ꪱꪥ,1,,,d.,1,"nặng mùi, mùi khó chịu",,ꪼꪎ꪿ ꪢꪲꪙ ꪮꪱꪥ ꪭ꫁ꪱꪥ: trứng thối nặng mùi,
156,ꪮꪱꪥ ꪅꪱꪥ,1,,,t.,1,nguy nga,,ꪹꪭꪙ ꪻꪐ꪿ ꪮꪱꪥ ꪅꪱꪥ: nhà lớn nguy nga,
157,ꪮꪱꪥ ꪶꪩꪣ,1,,,d.,1,không khí,thể tích nhỏ,ꪮꪱꪥ ꪶꪩꪣ ꪀꪺꪉ ꪢꪱꪀ ꪚ꪿ꪮꪉ: không khí trong quả bóng,
158,ꪮꪱꪥ ꪘ꫁ꪱ,1,,,đg.,1,xấu hổ,,: ,
159,ꪮꪱꪥ ꪹꪐꪉ,1,,,t.,1,hôi hám,,ꪎ꫁ꪺꪉ ꪹꪎ꫁ ꪮꪱꪥ ꪹꪐꪉ: quần áo hôi hám,
160,ꪮꪱꪥ ꪮꪮꪀ,1,,,đg.,1,lên hơi,,ꪢꪷ꫁ ꪹꪄ꫁ꪱ ꪮꪱꪥ ꪮꪮꪀ: ,
161,ꪮꪱꪥ ꪹꪮꪷ꫁,1,,,t.,1,thấm tháp,,ꪖ꫁ꪺꪥ ꪹꪄ꫁ꪱ ꫜ ꪮꪱꪥ ꪹꪮꪷ꫁ ꪎꪰꪉ: một bát cơm thấm tháp gì,
162,ꪮꪱꪥ ꪡ꫁ꪱ,1,,,d.,1,"khí trời, không khí",,ꪬꪱ ꪻꪊ ꪹꪮꪱ ꪮꪱꪥ ꪡ꫁ꪱ: hít thở khí trời,
163,ꪮꪱꪥ ꪡꪳ꫁ꪙ,1,,,đg.,1,sực mùi,,ꪜꪱ ꪹꪁꪸꪣ ꪮꪱꪥ ꪡꪳ꫁ꪙ: cá mắm sực mùi,
164,ꪮꪱꪥ ꪜꪴ꪿ꪀ,1,,,đg.,1,bốc hơi,,ꪢꪷ꫁ ꪙꪾ꫁ ꪮꪱꪥ ꪜꪴ꪿ꪀ: nồi nước bốc hơi,
165,ꪮ꪿ꪱꪥ,1,,,d.,1,ải,vh,ꪔꪴ ꪮ꪿ꪱꪥ: cửa ải,
